sku,categories
/,"cat_3,cat_11,cat_14,cat_21,cat_2224,cat_8"
107474301,"cat_1968,cat_2374,cat_3,cat_11,cat_45,cat_1345,cat_1348,cat_14,cat_47,cat_21,cat_40,cat_2224,cat_773,cat_8,cat_38"
107474701,"cat_1968,cat_3,cat_8,cat_31,cat_32"
107475801,"cat_1968,cat_3,cat_11,cat_19,cat_93,cat_8,cat_17,cat_92"
107476001,"cat_1968,cat_2374,cat_3,cat_11,cat_45,cat_80,cat_40,cat_78,cat_773,cat_786,cat_38,cat_77"
107476501,"cat_1968,cat_2374,cat_3,cat_11,cat_45,cat_80,cat_21,cat_40,cat_78,cat_2224,cat_773,cat_786,cat_8,cat_38,cat_77"
107477201,"cat_1968,cat_3,cat_115"
107478101,"cat_1968,cat_3,cat_1558,cat_1549"
107478701,"cat_1968,cat_3,cat_11,cat_1551,cat_8,cat_1549"
107480401,"cat_1968,cat_3,cat_11,cat_1551,cat_21,cat_1558,cat_2224,cat_8,cat_1549"
107480501,"cat_1968,cat_3,cat_11,cat_1551,cat_21,cat_1558,cat_2224,cat_8,cat_1549"
107480601,"cat_1968,cat_3,cat_11,cat_1551,cat_21,cat_1558,cat_2224,cat_8,cat_1549"
107480901,"cat_1968,cat_2374,cat_3,cat_21,cat_40,cat_2224,cat_773,cat_8,cat_38"
107482401,"cat_1968,cat_3,cat_11,cat_19,cat_68,cat_8,cat_17,cat_67"
107482601,"cat_1968,cat_3,cat_8,cat_31,cat_339"
107483601,"cat_1968,cat_2374,cat_3,cat_11,cat_45,cat_80,cat_21,cat_40,cat_78,cat_2224,cat_773,cat_786,cat_8,cat_38,cat_77"
107484301,"cat_1968,cat_3,cat_1558,cat_1549"
107487501,cat_3
107490301,cat_3
107494901,"cat_2127,cat_3,cat_11,cat_14"
1075,"cat_2374,cat_3,cat_8"
107500101,"cat_1968,cat_3,cat_11,cat_1551,cat_8,cat_1549"
107500201,"cat_1968,cat_3,cat_11,cat_115,cat_21,cat_2224,cat_8"
107501601,"cat_1968,cat_3,cat_11,cat_285,cat_115,cat_283,cat_21,cat_279,cat_2224,cat_281"
107501701,"cat_1968,cat_3,cat_11,cat_1551,cat_21,cat_1558,cat_2224,cat_8,cat_1549"
107501801,"cat_1968,cat_3,cat_11,cat_1551,cat_21,cat_1558,cat_2224,cat_8,cat_1549"
107502101,"cat_1968,cat_3,cat_11,cat_1551,cat_21,cat_1558,cat_2224,cat_8,cat_1549"
107502201,"cat_1968,cat_3,cat_11,cat_1551,cat_21,cat_1558,cat_2224,cat_8,cat_1549"
107502301,"cat_1968,cat_3,cat_11,cat_1551,cat_21,cat_1558,cat_2224,cat_1549"
107502801,"cat_1968,cat_3,cat_11,cat_1551,cat_115,cat_1558,cat_1549"
107524501,"cat_3,cat_11,cat_1551,cat_14,cat_1553,cat_8,cat_1549"
107531001,cat_3
107531101,cat_3
107532601,cat_3
107533401,"cat_3,cat_21,cat_2224"
107542401,"cat_1968,cat_3,cat_11,cat_14,cat_8"
107542601,"cat_1968,cat_3,cat_11,cat_19,cat_20,cat_8,cat_17,cat_18"
107542701,"cat_1968,cat_3,cat_11,cat_19,cat_20,cat_17,cat_18"
107543001,"cat_1968,cat_3,cat_11,cat_19,cat_66,cat_8,cat_17,cat_65"
